,city,lat,lon,temp,wind_speed,humidity %,cloudiness %
373,Nabire,-3.36,135.5,85.46,4.38,55,88
374,Karlstad,59.38,13.5,53.51,2.39,100,90
375,Ligayan,4.65,119.47,83.21,7.05,74,100
376,Galle,10.08,-12.83,69.54,3.51,98,97
377,Carauari,-4.88,-66.9,72.78,1.57,94,80
378,Clearwater,27.97,-82.8,82.98,3.36,74,1
379,Saint George,39.45,22.34,68.72,5.82,60,0
380,Srikakulam,18.29,83.89,79.44,3.13,84,100
381,Tuy Hoa,13.08,109.3,90.46,10.85,50,95
382,Phalombe,-15.81,35.65,60.92,5.08,93,84
383,Coyah,9.71,-13.39,77.07,8.88,84,100
384,Cap Malheureux,-19.98,57.61,70.02,8.05,83,40
385,Vinh Yen,21.31,105.6,86.0,4.7,74,0
386,Khuzhir,53.19,107.35,54.15,11.72,78,100
387,Kalmunai,7.42,81.82,86.03,2.86,52,99
388,Holzgerlingen,48.64,9.01,59.94,2.24,93,20
389,Mehamn,71.03,27.85,39.77,7.05,73,27
390,Campoverde,-0.91,-78.62,45.64,6.93,87,40
391,Impfondo,1.62,18.06,68.93,2.82,98,100
392,Mackay,53.65,-115.58,53.62,5.82,93,75
393,Warren,42.48,-83.03,60.01,6.93,72,1
394,Matamoros,25.87,-97.51,84.09,4.7,84,1
395,Itarema,-2.92,-39.92,74.87,9.6,85,1
396,Kaabong,3.51,34.14,61.89,7.02,85,0
397,Kota Tinggi,1.73,103.9,86.22,6.93,66,75
398,Nizhniy Kuranakh,58.84,125.49,67.11,5.08,68,93
399,Khatanga,71.98,102.47,59.45,7.45,70,20
400,Araucaria,-25.59,-49.41,50.76,6.93,87,75
401,Melnikovo,56.55,84.09,62.78,9.19,68,43
402,Colombia,3.38,-74.8,71.63,9.1,60,49
403,Cam Ranh,11.92,109.15,93.2,10.29,52,20
404,Alekseyevsk,57.84,108.35,59.1,3.96,91,100
405,Mudu,31.26,120.51,92.39,9.13,56,67
406,Vigevano,45.32,8.86,67.86,4.7,94,0
407,Pitimbu,-7.47,-34.81,73.4,6.93,100,40
408,Picayune,30.53,-89.68,75.88,0.98,88,40
409,Belyy Yar,53.6,91.39,66.2,11.18,68,0
410,Port Macquarie,-31.43,152.91,78.55,14.99,31,0
411,Pochutla,15.74,-96.47,80.01,2.13,88,4
412,Waddan,29.16,16.14,71.36,5.95,60,0
413,Almaznyy,48.03,40.04,73.4,15.66,56,0
414,Cukai,4.25,103.42,84.09,5.82,79,75
415,Rapid Valley,44.06,-103.15,67.71,3.85,82,1
416,Shelburne,44.08,-80.2,57.18,4.7,100,1
417,Kavaratti,10.57,72.64,80.6,6.93,83,90
418,Mount Gambier,-37.83,140.78,51.8,12.75,66,75
419,Paracuru,-3.41,-39.03,79.34,17.22,74,75
420,Kleinblittersdorf,49.16,7.04,57.38,3.36,87,0
421,Hualmay,-11.1,-77.61,58.22,11.3,91,100
422,Tricase,39.93,18.36,75.56,6.93,94,5
423,Le Port,42.87,1.37,59.99,2.93,52,0
424,Los Llanos de Aridane,28.66,-17.92,73.4,14.99,83,0
425,Diapaga,12.07,1.79,71.94,4.27,93,67
426,Norsup,-16.07,167.38,77.0,14.99,61,75
427,Pacific Grove,36.62,-121.92,64.96,5.82,77,1
428,Lagoa,37.14,-8.45,70.95,6.93,83,0
429,Santa Maria,-16.02,-48.01,62.71,3.36,59,0
430,Sayyan,15.17,44.32,70.73,1.14,60,70
431,Ancud,-41.87,-73.83,42.8,5.82,100,90
432,Yulara,-25.24,130.99,69.8,11.41,37,0
433,Hasaki,35.73,140.83,86.76,4.7,62,20
434,Butembo,0.12,29.29,59.95,2.37,93,12
435,Henties Bay,-22.12,14.28,64.0,1.01,66,0
436,Lamu,35.77,102.37,61.3,2.24,70,67
437,Saint-Pierre,48.95,4.24,55.51,2.24,82,0
438,Bilibino,68.06,166.44,62.97,6.87,45,99
439,Adeje,5.68,5.76,73.47,2.71,93,87
440,Ratnagiri,16.98,73.3,80.42,10.56,80,100
441,Ukiah,39.15,-123.21,68.38,5.82,32,1
442,Asia,44.72,11.34,66.92,2.24,94,40
443,Nha Trang,12.24,109.19,93.2,10.29,52,20
444,Atambua,-9.11,124.89,75.39,9.78,72,0
445,Kumluca,36.37,30.29,65.31,6.51,49,0
446,Bonawon,9.13,122.92,89.6,11.41,62,75
447,Rockhampton,-23.38,150.51,75.2,6.93,44,90
448,Weihe,32.99,105.33,75.11,3.87,67,13
449,Bajil,38.23,-2.07,55.99,3.96,97,0
450,Birjand,32.86,59.22,64.4,9.17,15,0
451,Burnie,-41.05,145.91,55.99,11.01,45,58
452,Yeppoon,-23.13,150.74,77.0,6.93,38,90
453,Ketrzyn,54.08,21.38,58.53,4.0,87,0
454,Toppenish,46.38,-120.31,72.9,6.93,52,1
455,Taboshar,40.57,69.64,80.6,4.47,34,0
456,Nago,45.88,10.89,64.89,2.24,88,0
457,Hofn,64.25,-15.21,38.03,7.61,73,83
458,Paternion,46.71,13.64,57.65,2.24,93,75
459,Rio Verde de Mato Grosso,-18.92,-54.84,78.06,16.49,21,0
460,Sainte-Marie,46.45,-71.03,55.85,5.82,67,40
461,Menongue,-14.66,17.68,48.3,5.17,32,99
462,Ust-Nera,64.57,143.24,62.11,6.02,46,10
463,Titel,45.21,20.3,67.14,3.36,93,0
464,Zlitan,32.47,14.57,73.88,2.95,84,0
465,Barroquinha,-3.02,-41.13,73.34,7.09,73,0
466,Chama,-11.22,33.16,60.27,2.98,75,0
467,Half Moon Bay,37.46,-122.43,64.9,3.36,77,5
